"record_id","reporting_period_id","reporting_period_label","reporting_period_end","reporting_grain","division","district","geography_label","reporting_units","includes_city_reporting_unit","management_priority","delivery_status","qa_status","overall_attention_status","attention_sort","attention_flag","cross_file_review_status","cross_file_review_flag","facilities","facilities_history","facility_count_gap","trainers","anc_sessions","pnc_sessions","scanu_sessions","general_medicine_sessions","general_surgery_sessions","ncd_sessions","total_sessions_quarter","expected_quarter_sessions","benchmark_session_gap","benchmark_session_gap_rate","total_patients","total_caregivers","total_participants","expected_quarter_participants","sessions_vs_target_rate","qa_coverage_rate","sessions_per_facility","participants_per_session","facilities_per_trainer","patient_share_rate","caregiver_share_rate","target_weighted_numerator","qa_weighted_numerator","any_monitoring_anomaly","threshold_note"
"CURRENT_RANGPUR_DINAJPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rangpur","Dinajpur","Dinajpur, Rangpur, Division",1,FALSE,"Routine monitoring","Critical","Critical","Urgent",1,1,"Review required",1,7,15,-8,3,16,8,5,6,5,4,44,351.55362,-307.55362,-0.874841283102134,79,85,164,8044.038879,0.38,0.57,6.28571428571429,3.72727272727273,2.33333333333333,0.481707317073171,0.518292682926829,16.72,3.99,TRUE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_NARAYANGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Narayanganj","Narayanganj, Dhaka, Division",1,FALSE,"Priority division","Critical","Watch","Urgent",1,1,"Review required",1,15,7,8,7,28,14,5,14,14,21,96,94.816926,1.18307399999999,0.0124774557656509,171,163,334,1893.556506,0.396,0.761,6.4,3.47916666666667,2.14285714285714,0.511976047904192,0.488023952095808,38.016,11.415,TRUE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_NOAKHALI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Noakhali","Noakhali, Chattogram, Division",1,FALSE,"Priority division","Critical","Watch","Urgent",1,1,"Review required",1,9,12,-3,4,16,14,6,10,9,4,59,203.090514,-144.090514,-0.709489139409042,82,100,182,4381.072413,0.442,0.765,6.55555555555556,3.08474576271186,2.25,0.450549450549451,0.54945054945055,26.078,6.885,TRUE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_BARISHAL_BARGUNA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Barishal","Barguna","Barguna, Barishal, Division",1,FALSE,"Priority division","Watch","Critical","Urgent",1,1,"Review required",1,21,9,12,4,82,71,15,50,84,9,311,216.939243,94.060757,0.433581106393,369,758,1127,6289.066716,0.828,0.55,14.8095238095238,3.62379421221865,5.25,0.327417923691216,0.672582076308784,257.508,11.55,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RANGPUR_PANCHAGARH","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rangpur","Panchagarh","Panchagarh, Rangpur, Division",1,FALSE,"Routine monitoring","Watch","Critical","Urgent",1,1,"Review required",1,9,6,3,3,54,36,11,41,12,14,168,82.575969,85.424031,1.03449020380251,356,264,620,2493.142335,0.834,0.52,18.6666666666667,3.69047619047619,3,0.574193548387097,0.425806451612903,140.112,4.68,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_TANGAIL","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Tangail","Tangail, Dhaka, Division",1,FALSE,"Priority division","Watch","Critical","Urgent",1,1,"Review required",1,8,16,-8,3,34,35,6,17,11,19,122,276.16365,-154.16365,-0.55823295354041,201,195,396,6181.457523,0.837,0.586,15.25,3.24590163934426,2.66666666666667,0.507575757575758,0.492424242424242,102.114,4.688,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_SYLHET_MOULVIBAZAR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Sylhet","Moulvibazar","Moulvibazar, Sylhet, Division",1,FALSE,"Routine monitoring","On track","Critical","Urgent",1,1,"No major flag",0,8,8,0,3,28,16,12,16,6,13,91,102.867903,-11.867903,-0.115370321100062,153,180,333,2031.410628,0.85,0.543,11.375,3.65934065934066,2.66666666666667,0.45945945945946,0.540540540540541,77.35,4.344,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_SYLHET_HABIGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Sylhet","Habiganj","Habiganj, Sylhet, Division",1,FALSE,"Routine monitoring","On track","Critical","Urgent",1,1,"Review required",1,10,10,0,3,70,33,17,20,48,39,227,162.955923,64.044077,0.393014723374001,381,228,609,3060.110025,0.853,0.559,22.7,2.68281938325991,3.33333333333333,0.625615763546798,0.374384236453202,193.631,5.59,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_BARISHAL_JHALOKATHI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Barishal","Jhalokathi","Jhalokathi, Barishal, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,10,7,3,3,116,71,15,47,36,22,307,104.157141,202.842859,1.94746953547813,502,519,1021,2530.133334,0.867,0.575,30.7,3.3257328990228,3.33333333333333,0.491674828599412,0.508325171400588,266.169,5.75,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_KHAGRACHHARI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Khagrachhari","Khagrachhari, Chattogram, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,12,9,3,5,84,56,14,29,24,13,220,266.429166,-46.429166,-0.174264577324841,375,471,846,5829.879168,0.869,0.537,18.3333333333333,3.84545454545455,2.4,0.443262411347518,0.556737588652482,191.18,6.444,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_RAJSHAHI_BOGURA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Rajshahi","Bogura","Bogura, Rajshahi, Division",1,FALSE,"Routine monitoring","On track","Critical","Urgent",1,1,"Review required",1,12,17,-5,6,63,45,9,42,18,27,204,369.334287,-165.334287,-0.447654855829835,351,413,764,8476.501422,0.87,0.51,17,3.74509803921569,2,0.459424083769634,0.540575916230366,177.48,6.12,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_BARISHAL_BARISHAL","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Barishal","Barishal","Barishal, Barishal, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,10,11,-1,3,144,54,22,41,38,48,347,185.541876,161.458124,0.870197755249602,397,522,919,3573.757608,0.872,0.546,34.7,2.64841498559078,3.33333333333333,0.431991294885745,0.568008705114255,302.584,5.46,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_SHARIATPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Shariatpur","Shariatpur, Dhaka, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,7,8,-1,3,40,13,6,7,12,8,86,224.157141,-138.157141,-0.616340574222438,120,110,230,6056.421429,0.873,0.546,12.2857142857143,2.67441860465116,2.33333333333333,0.521739130434783,0.478260869565217,75.078,3.822,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_MUNSHIGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Munshiganj","Munshiganj, Dhaka, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,10,7,3,4,44,37,13,19,33,18,164,202.980852,-38.980852,-0.19204201586463,277,228,505,3881.012658,0.878,0.534,16.4,3.07926829268293,2.5,0.548514851485149,0.451485148514851,143.992,5.34,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_KISHOREGANJ","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Kishoreganj","Kishoreganj, Dhaka, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,6,19,-13,4,29,33,4,18,6,7,97,395.54283,-298.54283,-0.754767391435208,211,270,481,11108.094456,0.885,0.572,16.1666666666667,4.95876288659794,1.5,0.438669438669439,0.561330561330561,85.845,3.432,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_KHULNA_CHUADANGA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Khulna","Chuadanga","Chuadanga, Khulna, Division",1,FALSE,"Routine monitoring","On track","Critical","Urgent",1,1,"Review required",1,8,8,0,4,51,30,9,24,13,3,130,168.985713,-38.985713,-0.230704195685466,209,272,481,4284.392859,0.89,0.549,16.25,3.7,2,0.434511434511435,0.565488565488566,115.7,4.392,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_RANGAMATI","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Rangamati","Rangamati, Chattogram, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,11,13,-2,5,54,34,12,47,23,14,184,179.221428,4.778572,0.0266629501467871,271,371,642,3740.971428,0.897,0.565,16.7272727272727,3.48913043478261,2.2,0.422118380062305,0.577881619937695,165.048,6.215,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_MYMENSINGH_NETROKONA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Mymensingh","Netrokona","Netrokona, Mymensingh, Division",1,FALSE,"Routine monitoring","On track","Critical","Urgent",1,1,"Review required",1,6,10,-4,4,31,15,19,14,10,12,101,205.700988,-104.700988,-0.508996038463364,141,196,337,4188.640506,0.974,0.599,16.8333333333333,3.33663366336634,1.5,0.41839762611276,0.58160237388724,98.374,3.594,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_BARISHAL_PIROJPUR","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Barishal","Pirojpur","Pirojpur, Barishal, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,11,10,1,4,71,120,15,28,23,31,288,174.265563,113.734437,0.652650099319967,568,716,1284,4694.506407,1,0.545,26.1818181818182,4.45833333333333,2.75,0.442367601246106,0.557632398753894,288,5.995,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_CHATTOGRAM_CUMILLA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Chattogram","Cumilla","Cumilla, Chattogram, Division",1,FALSE,"Priority division","On track","Critical","Urgent",1,1,"Review required",1,13,24,-11,4,72,92,24,46,18,21,273,343.076439,-70.076439,-0.204258966906206,367,584,951,7759.711071,1,0.594,21,3.48351648351648,3.25,0.385909568874869,0.614090431125131,273,7.722,FALSE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
"CURRENT_DHAKA_DHAKA","CURRENT_SNAPSHOT","Current quarter - source date not supplied",,"Consolidated district","Dhaka","Dhaka","Dhaka, Dhaka, Division",3,TRUE,"Priority division","Critical","Strong","Watch",2,1,"Review required",1,35,21,14,12,174,124,22,76,65,51,512,322.950711,189.049289,0.585381244136663,859,1025,1884,7612.075053,0.63710546875,0.831714285714286,14.6285714285714,3.6796875,2.91666666666667,0.455944798301486,0.544055201698514,326.198,29.11,TRUE,"Demonstration thresholds: delivery on track >=85%; QA strong >=80%; urgent if delivery or QA is below 60%. Confirm before operational use."
